slug,album,category,country,year,label,assigned,rule_a,rule_b,score
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Acacias,0,1,1,1.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Aircraft,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Antelope,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Autumn,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Bees,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Big Five,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Birds,1,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Birds in Flight,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Birds of Prey,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Boats and Ships,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Coast and Sea,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Drought,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Elephants,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Feeding,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Flowers,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Fungi,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Gulls,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Insects,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Martello Towers,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Mountains,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Reflections,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Seabirds,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Silhouettes,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Skies and Cloud,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Skylines,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Spring,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Sunrise and Sunset,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Trees,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Waterbirds,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Waterfronts and Harbours,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Wild Cats,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Winter,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Woodland,0,0,0,0.000
a-pair-of-doves,"Nairobi National Park, October 2025",Wildlife,Kenya,2025,Young Animals,0,0,0,0.000
a-single-mushroom,"Massy's Wood, October 2024",Nature,Ireland,2024,Acacias,0,0,0,0.000
a-single-mushroom,"Massy's Wood, October 2024",Nature,Ireland,2024,Aircraft,0,0,0,0.000
a-single-mushroom,"Massy's Wood, October 2024",Nature,Ireland,2024,Antelope,0,0,0,0.000
